bin,count,pred_mean,obs_mean,ci_low,ci_high
"(0.0, 0.1]",116233,0.0209250385002538,0.004431517988521078,0.004052902859404714,0.004853419679135412
"(0.1, 0.2]",10288,0.14813666407465007,0.052119797744068455,0.047841306884480746,0.05631402164361221
"(0.2, 0.3]",4907,0.2504890972080701,0.12250305748063596,0.11294482263059262,0.1318800035987472
"(0.3, 0.4]",3230,0.3536284829721362,0.22043343653250774,0.2065015479876161,0.23405572755417955
"(0.4, 0.5]",2443,0.46206303724928366,0.36512484650020466,0.3471142038477282,0.38436348751535
"(0.5, 0.6]",2137,0.5562891904539073,0.5156761815629387,0.4941506785212915,0.5362657931679925
"(0.6, 0.7]",2118,0.6583050047214353,0.6850802644003777,0.6647780925401322,0.7049102927289896
"(0.7, 0.8]",2575,0.7612077669902914,0.8205825242718446,0.8046601941747573,0.8341844660194175
"(0.8, 0.9]",4462,0.8645159121470193,0.916629314208875,0.9083370685791126,0.9249271627073061
"(0.9, 1.0]",56928,0.9830826658234963,0.9897941259134345,0.9889680824901631,0.9905845980888139
